lead_time,no_of_special_requests,avg_price_per_room,arrival_month,arrival_date,market_segment_type,no_of_week_nights,no_of_weekend_nights,type_of_meal_plan,room_type_reserved,booking_status
14,1,97.75,5,31,4,2,0,0,0,1
41,2,101.52,5,10,3,4,0,0,0,1
256,0,100.75,10,16,4,3,2,0,0,0
137,1,103.7,6,28,4,4,0,0,3,0
3,1,87.01,6,22,4,2,0,3,0,1
45,0,71.1,3,11,4,2,0,0,0,0
108,1,79.2,12,10,4,1,2,3,0,0
1,0,119.0,5,5,3,3,0,0,4,1
7,0,85.0,6,17,3,2,0,0,0,1
173,1,65.49,7,11,4,3,1,0,0,1
0,0,129.0,8,18,4,1,0,3,3,1
33,1,105.0,10,25,3,3,2,0,3,1
149,0,106.75,7,12,4,6,2,3,0,0
16,1,79.0,2,20,4,1,0,3,0,1
193,0,93.58,7,8,3,2,2,0,0,1
192,0,102.0,9,25,3,3,2,0,0,0
113,0,85.0,6,30,4,3,1,0,0,0
27,0,85.5,10,9,3,1,2,0,0,1
47,0,99.9,4,12,4,1,0,0,0,0
116,0,75.0,5,31,3,3,0,0,0,1
33,0,138.0,10,9,4,1,2,0,0,0
0,1,45.0,7,27,3,1,0,0,0,1
275,0,110.0,4,17,3,0,2,1,0,0
39,2,91.45,12,27,4,2,2,0,1,1
33,0,64.0,1,25,2,1,1,0,0,1
107,1,130.0,6,10,3,2,0,0,0,1
83,2,105.3,4,25,4,2,1,0,0,1
17,0,92.67,12,9,4,2,1,3,0,1
37,0,105.0,10,13,3,3,0,0,0,1
59,1,108.0,10,10,4,0,1,3,0,0
52,2,159.3,5,28,4,1,1,0,3,1
15,0,79.75,11,19,2,3,2,0,0,1
49,0,71.0,12,30,3,4,0,0,0,1
11,2,90.0,8,22,4,2,2,0,0,1
88,0,96.0,5,3,3,3,0,1,0,1
21,0,116.1,10,4,4,3,0,3,0,0
5,1,136.0,4,21,4,3,0,0,3,1
141,1,163.8,9,23,4,2,0,0,3,1
28,1,148.91,11,5,4,6,4,0,3,0
1,1,176.0,5,26,4,2,0,0,3,1
2,1,40.0,3,9,2,1,0,0,0,1
103,0,115.0,4,19,3,2,0,0,0,0
30,0,140.0,6,2,3,2,0,0,0,1
45,1,149.4,9,9,4,1,0,0,3,1
273,0,109.0,7,17,3,2,0,1,0,0
63,1,110.7,6,26,4,3,2,0,0,1
150,1,90.0,6,16,3,3,0,1,0,1
95,2,84.6,11,20,4,0,2,0,0,0
99,0,81.0,2,19,2,1,0,0,0,1
41,0,70.0,12,27,3,5,1,0,0,1
26,0,158.33,5,20,4,2,1,0,3,0
4,1,95.0,1,28,4,3,0,0,0,1
73,0,126.9,6,11,4,1,1,0,0,1
0,0,69.74,6,12,4,0,2,3,0,1
7,1,129.0,9,20,4,1,0,3,0,0
42,1,106.8,11,25,4,3,0,0,0,1
68,1,118.8,4,26,4,2,0,0,3,1
116,0,61.0,2,28,3,1,2,0,0,0
76,1,85.5,4,25,4,1,1,3,0,1
1,2,90.0,8,7,4,2,2,0,0,1
2,1,80.0,1,30,4,1,0,0,0,1
59,1,131.4,8,8,4,1,1,0,0,1
100,1,140.0,9,28,3,4,0,1,0,1
79,1,138.56,7,3,4,8,4,0,3,0
57,0,177.3,4,16,4,1,2,0,5,0
116,0,105.3,4,15,4,2,0,0,3,0
93,2,72.25,12,3,4,3,1,0,0,1
127,1,185.85,6,2,4,3,0,1,0,1
174,0,87.72,12,7,4,4,0,0,3,1
8,0,56.0,3,1,3,3,0,0,0,1
76,1,87.3,4,2,4,1,2,0,0,1
64,1,140.0,5,17,2,2,0,0,0,1
60,0,80.75,9,4,4,3,2,0,0,1
15,0,145.0,10,6,4,1,0,0,0,0
115,0,58.0,3,28,3,3,1,0,0,1
213,0,130.0,6,7,3,3,0,0,0,0
5,2,166.5,12,2,4,2,0,0,3,1
150,0,106.0,7,25,2,4,1,0,4,1
16,1,113.67,12,4,4,2,1,0,3,1
15,0,65.0,12,7,2,1,0,0,0,1
81,1,146.6,11,6,4,2,2,0,3,1
41,2,75.0,11,1,3,3,2,0,3,1
81,1,80.75,10,6,4,3,0,0,0,0
2,1,80.0,8,9,4,5,3,0,0,1
122,2,150.45,6,13,4,4,1,0,3,1
5,0,94.0,12,7,4,1,0,0,0,1
239,0,112.2,6,15,3,2,0,1,0,0
39,0,115.5,6,18,3,3,2,1,0,1
4,0,73.8,2,22,3,1,1,0,0,1
15,2,135.0,3,4,4,2,0,0,3,1
304,0,89.0,11,3,3,3,0,0,0,0
20,1,185.0,11,8,4,2,0,3,0,1
24,1,74.8,11,17,4,3,1,3,0,1
34,0,224.67,9,23,3,3,0,1,0,0
70,0,80.75,5,2,3,4,1,0,0,0
139,0,114.3,8,13,4,2,2,0,0,0
150,0,101.0,1,2,3,1,2,1,0,1
10,0,153.0,8,23,4,0,1,0,5,1
1,1,135.0,6,22,4,1,0,0,0,1
0,0,158.0,8,18,4,1,0,3,0,0
5,2,66.0,2,4,3,1,0,0,0,1
83,1,84.58,4,5,4,4,0,0,0,1
156,0,103.5,8,11,4,1,0,3,0,0
56,0,85.5,5,9,3,3,1,0,0,1
41,0,62.0,1,20,4,4,0,3,0,1
19,1,204.0,8,10,4,1,0,1,3,1
17,1,76.81,9,11,4,1,0,0,0,0
101,2,70.99,4,9,4,5,2,0,0,1
