,Booking_ID,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status
26053,INN26054,2,0,0,4,Meal Plan 1,0,Room_Type 1,152,2018,4,12,Offline,0,0,0,75.0,0,Not_Canceled
17331,INN17332,2,0,1,2,Meal Plan 1,0,Room_Type 1,19,2018,7,1,Online,0,0,0,151.0,1,Not_Canceled
27651,INN27652,2,0,0,3,Meal Plan 1,0,Room_Type 4,19,2018,8,23,Online,0,0,0,156.0,2,Not_Canceled
28924,INN28925,2,0,1,3,Meal Plan 1,0,Room_Type 1,31,2018,10,27,Offline,0,0,0,85.0,0,Not_Canceled
24363,INN24364,1,0,0,1,Not Selected,0,Room_Type 1,23,2018,9,16,Online,0,0,0,139.0,1,Not_Canceled
12998,INN12999,2,0,0,2,Meal Plan 1,0,Room_Type 1,34,2017,10,13,Offline,0,0,0,82.8,0,Not_Canceled
6193,INN06194,2,0,0,1,Meal Plan 1,0,Room_Type 1,66,2018,4,23,Online,0,0,0,105.3,2,Not_Canceled
35330,INN35331,2,0,2,2,Meal Plan 1,0,Room_Type 1,119,2018,8,12,Online,0,0,0,114.3,1,Not_Canceled
32081,INN32082,2,0,2,3,Meal Plan 1,0,Room_Type 1,26,2018,7,3,Offline,0,0,0,85.0,0,Not_Canceled
30723,INN30724,2,0,0,3,Meal Plan 1,0,Room_Type 1,109,2018,11,17,Online,0,0,0,90.0,1,Not_Canceled
2419,INN02420,2,0,2,2,Not Selected,0,Room_Type 1,200,2018,8,6,Online,0,0,0,62.18,1,Not_Canceled
26340,INN26341,1,0,0,2,Meal Plan 1,0,Room_Type 1,103,2018,4,19,Offline,0,0,0,115.0,0,Canceled
27144,INN27145,2,0,2,5,Meal Plan 1,0,Room_Type 1,3,2017,9,10,Online,0,0,0,137.29,2,Not_Canceled
9191,INN09192,2,0,2,3,Meal Plan 1,0,Room_Type 2,3,2017,11,8,Online,0,0,0,87.7,0,Not_Canceled
16321,INN16322,1,0,2,0,Meal Plan 1,0,Room_Type 1,16,2018,6,12,Online,0,0,0,84.0,0,Not_Canceled
15756,INN15757,2,0,2,1,Meal Plan 2,0,Room_Type 1,2,2017,8,1,Offline,0,0,0,94.5,0,Canceled
16771,INN16772,2,0,0,3,Meal Plan 1,0,Room_Type 1,37,2018,10,13,Offline,0,0,0,105.0,0,Not_Canceled
32997,INN32998,3,0,1,2,Meal Plan 1,0,Room_Type 4,80,2018,9,12,Online,0,0,0,168.3,0,Canceled
32200,INN32201,1,0,1,5,Meal Plan 1,0,Room_Type 1,16,2018,11,7,Online,0,0,0,156.92,0,Canceled
24509,INN24510,2,1,1,1,Meal Plan 1,0,Room_Type 1,220,2018,9,3,Online,0,0,0,143.1,1,Canceled
18506,INN18507,2,1,0,1,Meal Plan 1,0,Room_Type 1,111,2018,7,16,Online,0,0,0,121.5,1,Not_Canceled
